draught,speed,beaufort,consumption,imo
8.0,7.0,0.0,16.76810627955461,123456
8.0,7.0,1.0,16.854829347514126,123456
8.0,7.0,2.0,17.131603902997334,123456
8.0,7.0,3.0,17.84380348255357,123456
8.0,7.0,4.0,19.429331537014434,123456
8.0,7.0,5.0,22.55088400517358,123456
8.0,7.0,6.0,28.013122458027212,123456
8.0,7.1,0.0,16.981109183062383,123456
8.0,7.1,1.0,17.07004095019273,123456
8.0,7.1,2.0,17.352507349339533,123456
8.0,7.1,3.0,18.076701994653305,123456
8.0,7.1,4.0,19.68574088115298,123456
8.0,7.1,5.0,22.849850290706584,123456
8.0,7.1,6.0,28.380389461717726,123456
8.0,7.2,0.0,17.193833453681478,123456
8.0,7.2,1.0,17.284998314690085,123456
8.0,7.2,2.0,17.57319960515067,123456
8.0,7.2,3.0,18.30943185416683,123456
8.0,7.2,4.0,19.94199306283354,123456
8.0,7.2,5.0,23.148581930738835,123456
8.0,7.2,6.0,28.747119260562805,123456
8.0,7.3,0.0,17.406279085943197,123456
8.0,7.3,1.0,17.49970131337732,123456
8.0,7.3,2.0,17.793680294141566,123456
8.0,7.3,3.0,18.54199231297175,123456
8.0,7.3,4.0,20.1980867886113,123456
8.0,7.3,5.0,23.447076770618793,123456
8.0,7.3,6.0,29.113308191739883,123456
8.0,7.4,0.0,17.618446074378816,123456
8.0,7.4,1.0,17.7141498186066,123456
8.0,7.4,2.0,18.01394903986718,123456
8.0,7.4,3.0,18.77438262239664,123456
8.0,7.4,4.0,20.45402076371535,123456
8.0,7.4,5.0,23.74533265309765,123456
8.0,7.4,6.0,29.478952587913263,123456
8.0,7.5,0.0,17.830360906255727,123456
8.0,7.5,1.0,17.928370179225666,123456
8.0,7.5,2.0,18.234031891586827,123456
8.0,7.5,3.0,19.006628330611548,123456
8.0,7.5,4.0,20.709819703986035,123456
8.0,7.5,5.0,24.043372862300373,123456
8.0,7.5,6.0,29.844073062630592,123456
8.0,7.6,0.0,18.046053808086914,123456
8.0,7.6,1.0,18.146389965113848,123456
8.0,7.6,2.0,18.457948290854276,123456
8.0,7.6,3.0,19.242728591751884,123456
8.0,7.6,4.0,20.969438048031343,123456
8.0,7.6,5.0,24.342929819326045,123456
8.0,7.6,6.0,30.212355020785388,123456
8.0,7.7,0.0,18.26145713071386,123456
8.0,7.7,1.0,18.364143828119328,123456
8.0,7.7,2.0,18.6816402434411,123456
8.0,7.7,3.0,19.478644393040796,123456
8.0,7.7,4.0,21.22887932421156,123456
8.0,7.7,5.0,24.63816017568368,123456
8.0,7.7,6.0,30.58006073511001,123456
8.0,7.8,0.0,18.476570868562106,123456
8.0,7.8,1.0,18.581631638080886,123456
8.0,7.8,2.0,18.90510736529136,123456
8.0,7.8,3.0,19.714374970497243,123456
8.0,7.8,4.0,21.488142212070674,123456
8.0,7.8,5.0,24.93289214167479,123456
8.0,7.8,6.0,30.94718648242324,123456
8.0,7.9,0.0,18.69139501605715,123456
8.0,7.9,1.0,18.79885326481834,123456
8.0,7.9,2.0,19.12834927219324,123456
8.0,7.9,3.0,19.9499195595912,123456
8.0,7.9,4.0,21.747225389826582,123456
8.0,7.9,5.0,25.227122712062013,123456
8.0,7.9,6.0,31.313728535030762,123456
8.0,8.0,0.0,18.906001114994652,123456
8.0,8.0,1.0,19.015880075717455,123456
8.0,8.0,2.0,19.35143692511088,123456
8.0,8.0,3.0,20.185348360788005,123456
8.0,8.0,4.0,22.006197663499805,123456
8.0,8.0,5.0,25.520915749925884,123456
8.0,8.0,6.0,29.079748275357158,123456
8.0,8.1,0.0,19.130583586693653,123456
8.0,8.1,1.0,19.24289909225587,123456
8.0,8.1,2.0,19.584534931681475,123456
8.0,8.1,3.0,20.43077050580049,123456
8.0,8.1,4.0,22.275046484942685,123456
8.0,8.1,5.0,25.823781220143005,123456
8.0,8.1,6.0,29.45450586221848,123456
8.0,8.2,0.0,19.354847673051992,123456
8.0,8.2,1.0,19.469622412101728,123456
8.0,8.2,2.0,19.817376575291313,123456
8.0,8.2,3.0,20.675972565288923,123456
8.0,8.2,4.0,22.543676284686185,123456
8.0,8.2,5.0,26.126078981804262,123456
8.0,8.2,6.0,29.828614555403608,123456
8.0,8.3,0.0,19.57879336822586,123456
8.0,8.3,1.0,19.69604989878568,123456
8.0,8.3,2.0,20.04996145329398,123456
8.0,8.3,3.0,20.92095373910032,123456
8.0,8.3,4.0,22.812085683692754,123456
8.0,8.3,5.0,26.42780591610017,123456
8.0,8.3,6.0,30.2020705128303,123456
8.0,8.4,0.0,19.80242066637138,123456
8.0,8.4,1.0,19.922181415819388,123456
8.0,8.4,2.0,20.28228916288719,123456
8.0,8.4,3.0,21.165713226532652,123456
8.0,8.4,4.0,23.08027330159871,123456
8.0,8.4,5.0,26.728958900671294,123456
8.0,8.4,6.0,30.574869887903134,123456
8.0,8.5,0.0,20.02585090759786,123456
8.0,8.5,1.0,20.148138077320873,123456
8.0,8.5,2.0,20.514480265709672,123456
8.0,8.5,3.0,21.41037048858304,123456
8.0,8.5,4.0,23.348356485430507,123456
8.0,8.5,5.0,27.029647318563036,123456
8.0,8.5,6.0,30.947118441044,123456
8.0,8.6,0.0,20.265341121482166,123456
8.0,8.6,1.0,20.390163699603605,123456
8.0,8.6,2.0,20.762739202382296,123456
8.0,8.6,3.0,21.67103383254051,123456
8.0,8.6,4.0,23.632234292485478,123456
8.0,8.6,5.0,27.34547122470717,123456
8.0,8.6,6.0,31.33347423227183,123456
8.0,8.7,0.0,20.504463808573465,123456
8.0,8.7,1.0,20.631843244637004,123456
8.0,8.7,2.0,21.010688599817104,123456
8.0,8.7,3.0,21.93141893631239,123456
8.0,8.7,4.0,23.915826233663076,123456
8.0,8.7,5.0,27.66790134083874,123456
8.0,8.7,6.0,31.719071686873946,123456
8.0,8.8,0.0,20.74321896259501,123456
8.0,8.8,1.0,20.873176565867805,123456
